Species	Bacteriocin	Count
Salmonella_enterica_subsp._enterica_serovar_Enteritidis_str._SA20094350	Bacteriocin_IIc	1
Burkholderia_glumae_AU6208	Bacteriocin_IIc,Mersacidin	2
Mesorhizobium_sp._M1A.F.Ca.IN.022.06.1.1	Lactococcin	1
Planctomyces_sp._SH-PL14	Bacteriocin_IIc	1
Odoribacter_splanchnicus_DSM_20712_FDAARGOS_1579	L_biotic_typeA	1
Acinetobacter_baumannii_AB07	Bacteriocin_II,Bacteriocin_IIc	2
Helicobacter_pylori_Puno120	lasso	1
Micromonospora_sp._WMMA2032	ggmotif	1
Neorhizobium_galegae_7g	Bacteriocin_IIc	1
Salmonella_enterica_subsp._enterica_serovar_Montevideo_str._USDA-ARS-USMARC-1919	Bacteriocin_IIc	1
Salmonella_enterica_subsp._enterica_serovar_Mikawasima_strain_RSE13	Bacteriocin_IIc	1
Xenorhabdus_doucetiae_strain_FRM16_=_DSM_17909	L_biotic_typeA	1
Propionibacterium_acnes_C1	Lactococcin_972	1
Granulicatella_adiacens_FDAARGOS_1477	ggmotif	1
Brevundimonas_sp._PAMC22021	Bacteriocin_IIc,lasso	2
Psychroflexus_sp._ALD_RP9	Mersacidin	1
Beijerinckia_indica_subsp._indica_ATCC_9039	Bacteriocin_IIc	1
Chitinophaga_sp._H33E-04	Antimicrobial17,Bacteriocin_IIc,Linocin_M18	3
Mycobacterium_tuberculosis_H37RvCO	Gallidermin,Linocin_M18	2
Ferribacterium_limneticum_128	Linocin_M18	1
Clostridiales_genomosp._BVAB3_str._UPII9-5	Lactococcin_972	1
Citrobacter_sp._RHBSTW-00678	Bacteriocin_IIc	1
Curtobacterium_sp._SGAir0471_strain_not_applicable	Lactococcin_972,Linocin_M18	2
Bradyrhizobium_sp._I71	Bacteriocin_IIc	1
Runella_slithyformis_DSM_19594	Bacteriocin_IIc	1
Massilia_sp._NR_4-1	Bacteriocin_IIc,ggmotif	2
Sphingosinithalassobacter_sp._zrk23	Bacteriocin_IIc	1
Corynebacterium_riegelii_strain_FDAARGOS_1114_strain_Not_applicable	Lactococcin_972	1
Rouxiella_sp._ERMR1:05	Bacteriocin_IIc	1
Pseudomonas_denitrificans_(nomen_rejiciendum)_strain_BG1	ComC	1
Mycobacterium_xenopi_strain_JCM_15661T	Lactococcin_972,Lactococcin,Linocin_M18	3
Erwinia_billingiae_Eb661	Bacteriocin_IIc	1
Mycoplasma_pneumoniae_85138	Linocin_M18	1
Thermotoga_thermarum_DSM_5069	L_biotic_typeA,Linocin_M18	2
Mycobacterium_caprae_strain_Allgaeu	Gallidermin,Linocin_M18	2
Escherichia_coli_O157:H7	Bacteriocin_IIc	1
Shimwellia_blattae_DSM_4481_=_NBRC_105725	Bacteriocin_IIc	1
Alistipes_putredinis_nC33_bin.104.fa	Antimicrobial17	1
Enterobacter_cloacae_subsp._cloacae_ENHKU01	Bacteriocin_IIc	1
Ramlibacter_tataouinensis_TTB310	Bacteriocin_IIc	1
Citrobacter_koseri_ATCC_BAA-895	Bacteriocin_IIc	1
Burkholderia_xenovorans_strain_LB400	Bacteriocin_IIc,Linocin_M18	2
Escherichia_coli_NA114	Antimicrobial17,Bacteriocin_IIc	2
Burkholderia_pseudomallei_A79A	Bacteriocin_IIc,Bacteriocin_IId,ggmotif	3
Stenotrophomonas_sp._PAMC25021	Bacteriocin_IIc	1
Methanoculleus_marisnigri_JR1	Mersacidin	1
Clostridium_sp._JN-1	L_biotic_typeA	1
