"posterior_row","iteration","tree_no","map_within_draw","total_changes","q12","q13","q21","q24","q31","q34","q42","q43"
280,580000,1,1,1631,14,87,177,5,254,415,98,581
281,581000,1,1,1716,18,99,196,3,254,427,115,604
282,582000,1,1,1650,37,102,177,4,264,394,91,581
283,583000,1,1,1632,10,107,196,2,218,423,113,563
284,584000,1,1,1878,23,88,163,7,263,528,96,710
285,585000,1,1,1632,40,94,195,3,215,389,112,584
286,586000,1,1,1573,30,101,173,3,273,339,77,577
287,587000,1,1,1586,28,99,194,1,231,388,114,531
288,588000,1,1,1494,34,87,200,11,250,323,107,482
289,589000,1,1,1529,45,105,156,3,260,325,82,553
290,590000,1,1,1728,32,97,188,3,256,425,98,629
291,591000,1,1,1656,35,80,173,4,239,404,102,619
292,592000,1,1,1542,52,105,177,1,273,317,86,531
293,593000,1,1,1795,49,108,172,2,259,467,98,640
294,594000,1,1,1467,25,87,250,2,211,277,133,482
295,595000,1,1,1533,30,99,169,3,243,347,88,554
296,596000,1,1,1634,29,101,170,8,261,398,100,567
297,597000,1,1,1900,35,103,220,2,236,501,107,696
298,598000,1,1,1557,30,97,185,5,256,344,101,539
299,599000,1,1,1802,35,99,176,2,243,488,103,656
300,600000,1,1,1960,85,114,186,3,280,507,87,698
301,601000,1,1,1701,36,97,159,6,260,446,90,607
302,602000,1,1,1547,45,94,187,1,282,285,90,563
303,603000,1,1,1756,28,108,213,5,230,482,116,574
304,604000,1,1,1559,30,85,174,9,242,351,100,568
305,605000,1,1,1495,26,83,190,7,251,315,87,536
306,606000,1,1,1454,12,79,219,7,241,268,127,501
307,607000,1,1,1615,22,96,162,9,263,382,85,596
308,608000,1,1,1553,28,101,175,4,268,377,89,511
309,609000,1,1,1596,51,96,161,4,248,414,101,521
310,610000,1,1,1979,43,96,179,9,258,551,88,755
311,611000,1,1,1640,31,111,151,3,255,398,76,615
312,612000,1,1,1608,36,102,166,10,240,389,103,562
313,613000,1,1,1559,36,98,203,3,247,351,112,509
314,614000,1,1,1747,38,107,227,0,221,459,101,594
315,615000,1,1,1621,26,104,196,0,235,407,108,545
316,616000,1,1,1583,56,101,172,0,246,325,100,583
317,617000,1,1,1831,47,101,191,0,227,496,106,663
318,618000,1,1,1663,27,103,192,0,235,406,109,591
319,619000,1,1,1574,26,96,185,0,236,364,95,572
320,620000,1,1,1711,36,99,199,2,233,419,110,613
321,621000,1,1,1596,35,102,142,5,255,399,89,569
322,622000,1,1,1488,19,88,165,8,268,312,104,524
323,623000,1,1,1530,37,98,188,3,245,301,116,542
324,624000,1,1,1615,18,91,184,5,243,396,104,574
325,625000,1,1,1636,27,89,167,3,255,414,91,590
326,626000,1,1,1560,41,95,203,8,228,337,107,541
327,627000,1,1,1545,32,101,160,3,251,356,85,557
